Mobility_key,Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,"Transit_stations,",Workplaces,Residential,date
287,,Ottawa,Ontario,-16.0,4.0,7.0,-48.0,-1.0,7.0,2020-11-28
288,,Ottawa,Ontario,-14.0,6.0,40.0,-51.0,1.0,5.0,2020-11-29
289,,Ottawa,Ontario,-28.0,-11.0,-38.0,-67.0,-53.0,19.0,2020-11-30
290,,Ottawa,Ontario,-28.0,-4.0,-39.0,-66.0,-50.0,19.0,2020-12-01
291,,Ottawa,Ontario,-31.0,-8.0,-31.0,-68.0,-50.0,20.0,2020-12-02
292,,Ottawa,Ontario,-26.0,-2.0,-29.0,-64.0,-49.0,19.0,2020-12-03
293,,Ottawa,Ontario,-32.0,-9.0,-28.0,-63.0,-46.0,20.0,2020-12-04
294,,Ottawa,Ontario,-20.0,2.0,-6.0,-53.0,-3.0,7.0,2020-12-05
295,,Ottawa,Ontario,-19.0,3.0,10.0,-57.0,0.0,6.0,2020-12-06
296,,Ottawa,Ontario,-28.0,-7.0,-21.0,-67.0,-53.0,19.0,2020-12-07
297,,Ottawa,Ontario,-29.0,-8.0,-31.0,-67.0,-49.0,19.0,2020-12-08
298,,Ottawa,Ontario,-34.0,-11.0,-28.0,-68.0,-50.0,20.0,2020-12-09
299,,Ottawa,Ontario,-25.0,0.0,-29.0,-64.0,-49.0,19.0,2020-12-10
300,,Ottawa,Ontario,-27.0,-1.0,-14.0,-62.0,-45.0,19.0,2020-12-11
301,,Ottawa,Ontario,-27.0,-3.0,-25.0,-55.0,-6.0,9.0,2020-12-12
302,,Ottawa,Ontario,-20.0,2.0,-9.0,-58.0,-1.0,6.0,2020-12-13
303,,Ottawa,Ontario,-27.0,-4.0,-26.0,-68.0,-53.0,19.0,2020-12-14
304,,Ottawa,Ontario,-28.0,-6.0,-43.0,-67.0,-50.0,19.0,2020-12-15
305,,Ottawa,Ontario,-30.0,-8.0,-45.0,-69.0,-50.0,20.0,2020-12-16
306,,Ottawa,Ontario,-22.0,4.0,-36.0,-65.0,-49.0,19.0,2020-12-17
307,,Ottawa,Ontario,-28.0,-3.0,-24.0,-62.0,-45.0,19.0,2020-12-18
308,,Ottawa,Ontario,-20.0,5.0,-2.0,-50.0,-2.0,7.0,2020-12-19
309,,Ottawa,Ontario,-21.0,2.0,5.0,-55.0,2.0,6.0,2020-12-20
310,,Ottawa,Ontario,-8.0,25.0,-14.0,-65.0,-59.0,18.0,2020-12-21
311,,Ottawa,Ontario,-9.0,30.0,-33.0,-65.0,-57.0,18.0,2020-12-22
312,,Ottawa,Ontario,-9.0,40.0,-31.0,-66.0,-57.0,18.0,2020-12-23
313,,Ottawa,Ontario,-26.0,28.0,-47.0,-70.0,-67.0,20.0,2020-12-24
314,,Ottawa,Ontario,-88.0,-83.0,-49.0,-87.0,-85.0,28.0,2020-12-25
315,,Ottawa,Ontario,-68.0,-50.0,-23.0,-74.0,-37.0,13.0,2020-12-26
316,,Ottawa,Ontario,-53.0,-26.0,15.0,-69.0,-19.0,9.0,2020-12-27
317,,Ottawa,Ontario,-53.0,-23.0,-28.0,-81.0,-78.0,27.0,2020-12-28
318,,Ottawa,Ontario,-47.0,-10.0,-30.0,-77.0,-69.0,25.0,2020-12-29
319,,Ottawa,Ontario,-46.0,-3.0,-26.0,-77.0,-69.0,26.0,2020-12-30
320,,Ottawa,Ontario,-38.0,14.0,-16.0,-76.0,-71.0,25.0,2020-12-31
321,,Ottawa,Ontario,-83.0,-77.0,-7.0,-86.0,-86.0,33.0,2021-01-01
322,,Ottawa,Ontario,-54.0,-23.0,49.0,-65.0,-26.0,13.0,2021-01-02
323,,Ottawa,Ontario,-48.0,-15.0,29.0,-65.0,-16.0,10.0,2021-01-03
324,,Ottawa,Ontario,-47.0,-15.0,-24.0,-75.0,-62.0,23.0,2021-01-04
325,,Ottawa,Ontario,-49.0,-17.0,-33.0,-73.0,-61.0,24.0,2021-01-05
326,,Ottawa,Ontario,-50.0,-18.0,-33.0,-75.0,-60.0,24.0,2021-01-06
327,,Ottawa,Ontario,-49.0,-15.0,-36.0,-74.0,-60.0,25.0,2021-01-07
328,,Ottawa,Ontario,-52.0,-20.0,-27.0,-73.0,-57.0,25.0,2021-01-08
329,,Ottawa,Ontario,-50.0,-13.0,25.0,-67.0,-20.0,12.0,2021-01-09
330,,Ottawa,Ontario,-48.0,-14.0,25.0,-68.0,-17.0,9.0,2021-01-10
331,,Ottawa,Ontario,-51.0,-20.0,-26.0,-76.0,-62.0,24.0,2021-01-11
332,,Ottawa,Ontario,-50.0,-16.0,-33.0,-75.0,-60.0,24.0,2021-01-12
333,,Ottawa,Ontario,-50.0,-16.0,-43.0,-75.0,-61.0,24.0,2021-01-13
334,,Ottawa,Ontario,-57.0,-26.0,-46.0,-77.0,-64.0,26.0,2021-01-14
335,,Ottawa,Ontario,-56.0,-20.0,-36.0,-76.0,-61.0,27.0,2021-01-15
336,,Ottawa,Ontario,-66.0,-41.0,-6.0,-72.0,-33.0,15.0,2021-01-16
337,,Ottawa,Ontario,-53.0,-21.0,12.0,-71.0,-25.0,11.0,2021-01-17
338,,Ottawa,Ontario,-55.0,-27.0,-35.0,-78.0,-65.0,25.0,2021-01-18
339,,Ottawa,Ontario,-56.0,-27.0,-44.0,-77.0,-64.0,25.0,2021-01-19
340,,Ottawa,Ontario,-56.0,-26.0,-44.0,-78.0,-63.0,26.0,2021-01-20
341,,Ottawa,Ontario,-57.0,-30.0,-44.0,-76.0,-64.0,26.0,2021-01-21
342,,Ottawa,Ontario,-54.0,-21.0,-28.0,-75.0,-60.0,27.0,2021-01-22
343,,Ottawa,Ontario,-54.0,-19.0,-18.0,-72.0,-27.0,13.0,2021-01-23
344,,Ottawa,Ontario,-53.0,-21.0,-14.0,-74.0,-25.0,11.0,2021-01-24
345,,Ottawa,Ontario,-55.0,-28.0,-37.0,-77.0,-65.0,25.0,2021-01-25
346,,Ottawa,Ontario,-56.0,-27.0,-41.0,-77.0,-63.0,25.0,2021-01-26
347,,Ottawa,Ontario,-55.0,-25.0,-32.0,-76.0,-63.0,25.0,2021-01-27
348,,Ottawa,Ontario,-53.0,-22.0,-47.0,-76.0,-63.0,26.0,2021-01-28
349,,Ottawa,Ontario,-55.0,-23.0,-43.0,-76.0,-60.0,27.0,2021-01-29
350,,Ottawa,Ontario,-51.0,-15.0,3.0,-71.0,-25.0,13.0,2021-01-30
351,,Ottawa,Ontario,-49.0,-15.0,18.0,-72.0,-22.0,10.0,2021-01-31
352,,Ottawa,Ontario,-51.0,-20.0,-24.0,-76.0,-60.0,23.0,2021-02-01
353,,Ottawa,Ontario,-53.0,-22.0,-33.0,-75.0,-59.0,23.0,2021-02-02
354,,Ottawa,Ontario,-52.0,-20.0,-22.0,-76.0,-58.0,23.0,2021-02-03
355,,Ottawa,Ontario,-48.0,-15.0,-10.0,-74.0,-58.0,23.0,2021-02-04
356,,Ottawa,Ontario,-55.0,-25.0,-26.0,-75.0,-55.0,25.0,2021-02-05
357,,Ottawa,Ontario,-49.0,-13.0,38.0,-71.0,-23.0,12.0,2021-02-06
358,,Ottawa,Ontario,-50.0,-17.0,32.0,-73.0,-21.0,10.0,2021-02-07
359,,Ottawa,Ontario,-52.0,-24.0,-25.0,-77.0,-60.0,22.0,2021-02-08
360,,Ottawa,Ontario,-52.0,-21.0,-28.0,-75.0,-57.0,23.0,2021-02-09
361,,Ottawa,Ontario,-52.0,-19.0,-25.0,-76.0,-57.0,23.0,2021-02-10
362,,Ottawa,Ontario,-48.0,-13.0,-35.0,-74.0,-57.0,24.0,2021-02-11
363,,Ottawa,Ontario,-52.0,-16.0,-39.0,-75.0,-55.0,25.0,2021-02-12
364,,Ottawa,Ontario,-48.0,-4.0,-4.0,-70.0,-22.0,12.0,2021-02-13
365,,Ottawa,Ontario,-37.0,6.0,77.0,-68.0,-13.0,8.0,2021-02-14
366,,Ottawa,Ontario,-73.0,-61.0,12.0,-85.0,-83.0,29.0,2021-02-15
367,,Ottawa,Ontario,-47.0,-21.0,-52.0,-72.0,-59.0,23.0,2021-02-16
368,,Ottawa,Ontario,-36.0,-7.0,-28.0,-70.0,-53.0,20.0,2021-02-17
369,,Ottawa,Ontario,-34.0,-9.0,-30.0,-69.0,-53.0,21.0,2021-02-18
370,,Ottawa,Ontario,-40.0,-16.0,-27.0,-68.0,-49.0,21.0,2021-02-19
371,,Ottawa,Ontario,-26.0,-3.0,46.0,-57.0,-8.0,8.0,2021-02-20
372,,Ottawa,Ontario,-25.0,-2.0,62.0,-60.0,-5.0,6.0,2021-02-21
373,,Ottawa,Ontario,-43.0,-22.0,-34.0,-73.0,-55.0,21.0,2021-02-22
374,,Ottawa,Ontario,-38.0,-13.0,-40.0,-71.0,-53.0,21.0,2021-02-23
375,,Ottawa,Ontario,-42.0,-21.0,-42.0,-72.0,-53.0,21.0,2021-02-24
376,,Ottawa,Ontario,-35.0,-11.0,-35.0,-69.0,-52.0,21.0,2021-02-25
377,,Ottawa,Ontario,-35.0,-8.0,-17.0,-66.0,-48.0,20.0,2021-02-26
378,,Ottawa,Ontario,-35.0,-15.0,-10.0,-61.0,-10.0,9.0,2021-02-27
379,,Ottawa,Ontario,-21.0,1.0,28.0,-58.0,-3.0,6.0,2021-02-28
380,,Ottawa,Ontario,-35.0,-14.0,-39.0,-71.0,-55.0,20.0,2021-03-01
381,,Ottawa,Ontario,-37.0,-16.0,-47.0,-72.0,-53.0,21.0,2021-03-02
382,,Ottawa,Ontario,-37.0,-14.0,-35.0,-70.0,-53.0,21.0,2021-03-03
383,,Ottawa,Ontario,-33.0,-11.0,-44.0,-69.0,-53.0,21.0,2021-03-04
384,,Ottawa,Ontario,-36.0,-14.0,-37.0,-68.0,-48.0,21.0,2021-03-05
385,,Toronto,Ontario,0.0,2.0,15.0,1.0,0.0,-1.0,2020-02-15
386,,Toronto,Ontario,11.0,10.0,35.0,8.0,-4.0,-3.0,2020-02-16
387,,Toronto,Ontario,-26.0,-45.0,49.0,-50.0,-76.0,17.0,2020-02-17
388,,Toronto,Ontario,-3.0,11.0,-2.0,1.0,-1.0,0.0,2020-02-18
389,,Toronto,Ontario,-1.0,3.0,-3.0,-2.0,0.0,1.0,2020-02-19
390,,Toronto,Ontario,2.0,5.0,2.0,-1.0,2.0,0.0,2020-02-20
391,,Toronto,Ontario,1.0,-1.0,20.0,2.0,-6.0,2.0,2020-02-21
392,,Toronto,Ontario,8.0,8.0,56.0,13.0,7.0,-1.0,2020-02-22
393,,Toronto,Ontario,9.0,7.0,64.0,13.0,3.0,-2.0,2020-02-23
394,,Toronto,Ontario,1.0,2.0,22.0,-2.0,1.0,0.0,2020-02-24
395,,Toronto,Ontario,1.0,5.0,5.0,2.0,1.0,0.0,2020-02-25
396,,Toronto,Ontario,-10.0,-7.0,-13.0,-7.0,-4.0,3.0,2020-02-26
397,,Toronto,Ontario,-8.0,-6.0,-13.0,-3.0,-3.0,3.0,2020-02-27
398,,Toronto,Ontario,-5.0,-1.0,-8.0,-1.0,0.0,1.0,2020-02-28
399,,Toronto,Ontario,3.0,8.0,16.0,3.0,7.0,-1.0,2020-02-29
400,,Toronto,Ontario,5.0,12.0,28.0,4.0,4.0,-1.0,2020-03-01
401,,Toronto,Ontario,0.0,6.0,2.0,0.0,3.0,0.0,2020-03-02
402,,Toronto,Ontario,-2.0,3.0,-4.0,1.0,3.0,0.0,2020-03-03
403,,Toronto,Ontario,3.0,5.0,3.0,0.0,2.0,0.0,2020-03-04
404,,Toronto,Ontario,4.0,10.0,24.0,2.0,-1.0,1.0,2020-03-05
405,,Toronto,Ontario,-4.0,-1.0,-4.0,-3.0,2.0,1.0,2020-03-06
406,,Toronto,Ontario,7.0,8.0,50.0,8.0,7.0,-1.0,2020-03-07
407,,Toronto,Ontario,8.0,9.0,102.0,8.0,3.0,-1.0,2020-03-08
408,,Toronto,Ontario,1.0,5.0,48.0,-3.0,1.0,1.0,2020-03-09
409,,Toronto,Ontario,-2.0,2.0,0.0,-5.0,0.0,1.0,2020-03-10
410,,Toronto,Ontario,-2.0,5.0,-2.0,-6.0,-1.0,2.0,2020-03-11
411,,Toronto,Ontario,-1.0,30.0,4.0,-8.0,-1.0,2.0,2020-03-12
412,,Toronto,Ontario,-9.0,40.0,-13.0,-18.0,-9.0,5.0,2020-03-13
413,,Toronto,Ontario,-17.0,23.0,1.0,-23.0,-3.0,4.0,2020-03-14
414,,Toronto,Ontario,-20.0,11.0,38.0,-25.0,-10.0,4.0,2020-03-15
415,,Toronto,Ontario,-23.0,19.0,-4.0,-45.0,-37.0,13.0,2020-03-16
416,,Toronto,Ontario,-39.0,7.0,-4.0,-54.0,-46.0,17.0,2020-03-17
417,,Toronto,Ontario,-45.0,-5.0,-12.0,-58.0,-52.0,21.0,2020-03-18
418,,Toronto,Ontario,-48.0,-4.0,-3.0,-61.0,-54.0,22.0,2020-03-19
419,,Toronto,Ontario,-53.0,-12.0,-17.0,-62.0,-57.0,24.0,2020-03-20
420,,Toronto,Ontario,-56.0,-16.0,16.0,-56.0,-39.0,14.0,2020-03-21
421,,Toronto,Ontario,-60.0,-27.0,-10.0,-60.0,-43.0,12.0,2020-03-22
422,,Toronto,Ontario,-56.0,-22.0,-52.0,-69.0,-62.0,25.0,2020-03-23
423,,Toronto,Ontario,-56.0,-18.0,-11.0,-69.0,-63.0,25.0,2020-03-24
424,,Toronto,Ontario,-62.0,-29.0,-5.0,-72.0,-67.0,28.0,2020-03-25
425,,Toronto,Ontario,-63.0,-28.0,-20.0,-72.0,-67.0,29.0,2020-03-26
426,,Toronto,Ontario,-62.0,-27.0,1.0,-70.0,-67.0,29.0,2020-03-27
427,,Toronto,Ontario,-67.0,-34.0,-43.0,-68.0,-51.0,18.0,2020-03-28
428,,Toronto,Ontario,-66.0,-38.0,-10.0,-66.0,-51.0,14.0,2020-03-29
429,,Toronto,Ontario,-64.0,-35.0,-46.0,-74.0,-69.0,28.0,2020-03-30
430,,Toronto,Ontario,-61.0,-27.0,-41.0,-72.0,-69.0,27.0,2020-03-31
431,,Toronto,Ontario,-60.0,-28.0,-9.0,-72.0,-69.0,28.0,2020-04-01
432,,Toronto,Ontario,-61.0,-27.0,-11.0,-73.0,-68.0,29.0,2020-04-02
433,,Toronto,Ontario,-64.0,-30.0,-40.0,-73.0,-68.0,30.0,2020-04-03
434,,Toronto,Ontario,-65.0,-32.0,-29.0,-67.0,-51.0,18.0,2020-04-04
435,,Toronto,Ontario,-67.0,-36.0,-11.0,-67.0,-52.0,14.0,2020-04-05
436,,Toronto,Ontario,-63.0,-31.0,-15.0,-74.0,-69.0,27.0,2020-04-06
437,,Toronto,Ontario,-64.0,-29.0,-29.0,-74.0,-69.0,28.0,2020-04-07
438,,Toronto,Ontario,-62.0,-25.0,-14.0,-73.0,-70.0,28.0,2020-04-08
439,,Toronto,Ontario,-56.0,-10.0,-39.0,-72.0,-70.0,28.0,2020-04-09
440,,Toronto,Ontario,-84.0,-71.0,-38.0,-84.0,-88.0,39.0,2020-04-10
441,,Toronto,Ontario,-64.0,-23.0,-27.0,-65.0,-53.0,18.0,2020-04-11
442,,Toronto,Ontario,-82.0,-69.0,-21.0,-72.0,-58.0,16.0,2020-04-12
443,,Toronto,Ontario,-67.0,-34.0,-55.0,-78.0,-73.0,30.0,2020-04-13
444,,Toronto,Ontario,-62.0,-25.0,-39.0,-74.0,-69.0,28.0,2020-04-14
445,,Toronto,Ontario,-63.0,-30.0,-44.0,-75.0,-70.0,29.0,2020-04-15
446,,Toronto,Ontario,-64.0,-28.0,-42.0,-75.0,-69.0,30.0,2020-04-16
447,,Toronto,Ontario,-65.0,-30.0,-42.0,-73.0,-69.0,31.0,2020-04-17
448,,Toronto,Ontario,-65.0,-29.0,-13.0,-64.0,-48.0,17.0,2020-04-18
449,,Toronto,Ontario,-69.0,-41.0,-38.0,-68.0,-49.0,15.0,2020-04-19
450,,Toronto,Ontario,-62.0,-30.0,-16.0,-73.0,-68.0,27.0,2020-04-20
451,,Toronto,Ontario,-65.0,-33.0,-51.0,-75.0,-69.0,28.0,2020-04-21
452,,Toronto,Ontario,-62.0,-28.0,-30.0,-74.0,-68.0,29.0,2020-04-22
453,,Toronto,Ontario,-63.0,-26.0,-36.0,-74.0,-68.0,29.0,2020-04-23
454,,Toronto,Ontario,-64.0,-29.0,-29.0,-72.0,-67.0,30.0,2020-04-24
455,,Toronto,Ontario,-63.0,-27.0,24.0,-61.0,-47.0,16.0,2020-04-25
456,,Toronto,Ontario,-68.0,-40.0,-50.0,-69.0,-49.0,15.0,2020-04-26
457,,Toronto,Ontario,-61.0,-26.0,12.0,-71.0,-67.0,26.0,2020-04-27
458,,Toronto,Ontario,-61.0,-27.0,-17.0,-72.0,-68.0,27.0,2020-04-28
459,,Toronto,Ontario,-62.0,-30.0,-40.0,-73.0,-68.0,29.0,2020-04-29
460,,Toronto,Ontario,-61.0,-24.0,-28.0,-72.0,-68.0,29.0,2020-04-30
461,,Toronto,Ontario,-60.0,-21.0,3.0,-68.0,-66.0,28.0,2020-05-01
462,,Toronto,Ontario,-63.0,-27.0,-13.0,-60.0,-45.0,16.0,2020-05-02
463,,Toronto,Ontario,-58.0,-25.0,76.0,-53.0,-40.0,11.0,2020-05-03
464,,Toronto,Ontario,-60.0,-25.0,-12.0,-71.0,-66.0,26.0,2020-05-04
465,,Toronto,Ontario,-58.0,-21.0,-4.0,-69.0,-66.0,26.0,2020-05-05
466,,Toronto,Ontario,-58.0,-22.0,7.0,-69.0,-66.0,27.0,2020-05-06
467,,Toronto,Ontario,-59.0,-21.0,-16.0,-70.0,-66.0,28.0,2020-05-07
468,,Toronto,Ontario,-60.0,-22.0,-33.0,-69.0,-65.0,29.0,2020-05-08
469,,Toronto,Ontario,-60.0,-23.0,-41.0,-63.0,-42.0,17.0,2020-05-09
470,,Toronto,Ontario,-57.0,-24.0,-22.0,-59.0,-38.0,12.0,2020-05-10
471,,Toronto,Ontario,-60.0,-29.0,-30.0,-71.0,-65.0,27.0,2020-05-11
472,,Toronto,Ontario,-57.0,-22.0,-14.0,-69.0,-64.0,26.0,2020-05-12
473,,Toronto,Ontario,-54.0,-19.0,25.0,-67.0,-64.0,26.0,2020-05-13
474,,Toronto,Ontario,-57.0,-23.0,-33.0,-70.0,-64.0,28.0,2020-05-14
475,,Toronto,Ontario,-56.0,-20.0,-21.0,-68.0,-64.0,28.0,2020-05-15
476,,Toronto,Ontario,-53.0,-16.0,91.0,-49.0,-38.0,12.0,2020-05-16
477,,Toronto,Ontario,-54.0,-20.0,14.0,-57.0,-38.0,11.0,2020-05-17
478,,Toronto,Ontario,-76.0,-62.0,-44.0,-82.0,-85.0,33.0,2020-05-18
479,,Toronto,Ontario,-50.0,-11.0,5.0,-66.0,-63.0,24.0,2020-05-19
480,,Toronto,Ontario,-47.0,-10.0,63.0,-63.0,-62.0,24.0,2020-05-20
481,,Toronto,Ontario,-48.0,-9.0,68.0,-64.0,-62.0,24.0,2020-05-21
482,,Toronto,Ontario,-50.0,-14.0,64.0,-61.0,-60.0,24.0,2020-05-22
483,,Toronto,Ontario,-48.0,-14.0,127.0,-45.0,-31.0,11.0,2020-05-23
484,,Toronto,Ontario,-49.0,-21.0,102.0,-48.0,-31.0,9.0,2020-05-24
485,,Toronto,Ontario,-47.0,-16.0,69.0,-63.0,-62.0,22.0,2020-05-25
486,,Toronto,Ontario,-46.0,-14.0,68.0,-63.0,-60.0,22.0,2020-05-26
487,,Toronto,Ontario,-46.0,-14.0,60.0,-63.0,-60.0,23.0,2020-05-27
488,,Toronto,Ontario,-50.0,-18.0,-12.0,-66.0,-60.0,25.0,2020-05-28
489,,Toronto,Ontario,-50.0,-17.0,-6.0,-63.0,-59.0,25.0,2020-05-29
490,,Toronto,Ontario,-47.0,-13.0,68.0,-44.0,-24.0,11.0,2020-05-30
491,,Toronto,Ontario,-46.0,-17.0,79.0,-46.0,-22.0,8.0,2020-05-31
492,,Toronto,Ontario,-44.0,-12.0,78.0,-61.0,-58.0,21.0,2020-06-01
493,,Toronto,Ontario,-46.0,-15.0,48.0,-62.0,-59.0,22.0,2020-06-02
494,,Toronto,Ontario,-46.0,-15.0,51.0,-62.0,-59.0,23.0,2020-06-03
495,,Toronto,Ontario,-45.0,-9.0,85.0,-61.0,-58.0,22.0,2020-06-04
496,,Toronto,Ontario,-47.0,-14.0,46.0,-60.0,-57.0,23.0,2020-06-05
497,,Toronto,Ontario,-44.0,-12.0,129.0,-44.0,-22.0,9.0,2020-06-06
498,,Toronto,Ontario,-43.0,-16.0,135.0,-45.0,-22.0,7.0,2020-06-07
499,,Toronto,Ontario,-42.0,-12.0,89.0,-60.0,-57.0,20.0,2020-06-08
500,,Toronto,Ontario,-43.0,-12.0,95.0,-61.0,-57.0,20.0,2020-06-09
501,,Toronto,Ontario,-43.0,-14.0,49.0,-62.0,-57.0,22.0,2020-06-10
502,,Toronto,Ontario,-42.0,-8.0,85.0,-60.0,-56.0,22.0,2020-06-11
503,,Toronto,Ontario,-43.0,-11.0,75.0,-58.0,-55.0,21.0,2020-06-12
504,,Toronto,Ontario,-42.0,-11.0,131.0,-42.0,-17.0,8.0,2020-06-13
505,,Toronto,Ontario,-41.0,-15.0,134.0,-43.0,-17.0,6.0,2020-06-14
506,,Toronto,Ontario,-41.0,-12.0,91.0,-59.0,-56.0,20.0,2020-06-15
507,,Toronto,Ontario,-40.0,-10.0,104.0,-59.0,-55.0,20.0,2020-06-16
508,,Toronto,Ontario,-41.0,-11.0,97.0,-59.0,-56.0,21.0,2020-06-17
509,,Toronto,Ontario,-40.0,-6.0,105.0,-59.0,-55.0,20.0,2020-06-18
510,,Toronto,Ontario,-43.0,-9.0,96.0,-56.0,-54.0,19.0,2020-06-19
511,,Toronto,Ontario,-42.0,-10.0,138.0,-40.0,-15.0,6.0,2020-06-20
512,,Toronto,Ontario,-42.0,-17.0,113.0,-43.0,-12.0,4.0,2020-06-21
513,,Toronto,Ontario,-43.0,-16.0,64.0,-61.0,-57.0,20.0,2020-06-22
514,,Toronto,Ontario,-44.0,-15.0,28.0,-61.0,-57.0,21.0,2020-06-23
515,,Toronto,Ontario,-37.0,-9.0,71.0,-57.0,-55.0,20.0,2020-06-24
516,,Toronto,Ontario,-36.0,-5.0,96.0,-56.0,-54.0,19.0,2020-06-25
517,,Toronto,Ontario,-38.0,-9.0,105.0,-53.0,-53.0,18.0,2020-06-26
518,,Toronto,Ontario,-38.0,-11.0,113.0,-38.0,-15.0,7.0,2020-06-27
519,,Toronto,Ontario,-36.0,-14.0,154.0,-35.0,-10.0,3.0,2020-06-28
520,,Toronto,Ontario,-33.0,-7.0,101.0,-57.0,-55.0,17.0,2020-06-29
521,,Toronto,Ontario,-24.0,14.0,109.0,-54.0,-54.0,15.0,2020-06-30
522,,Toronto,Ontario,-56.0,-46.0,220.0,-66.0,-76.0,21.0,2020-07-01
523,,Toronto,Ontario,-31.0,3.0,82.0,-57.0,-56.0,18.0,2020-07-02
524,,Toronto,Ontario,-35.0,-4.0,92.0,-55.0,-57.0,18.0,2020-07-03
525,,Toronto,Ontario,-36.0,-10.0,141.0,-39.0,-15.0,5.0,2020-07-04
526,,Toronto,Ontario,-35.0,-14.0,129.0,-40.0,-13.0,3.0,2020-07-05
527,,Toronto,Ontario,-33.0,-6.0,100.0,-57.0,-55.0,17.0,2020-07-06
528,,Toronto,Ontario,-34.0,-6.0,95.0,-56.0,-55.0,17.0,2020-07-07
529,,Toronto,Ontario,-34.0,-9.0,68.0,-57.0,-55.0,18.0,2020-07-08
530,,Toronto,Ontario,-33.0,-2.0,87.0,-56.0,-54.0,18.0,2020-07-09
531,,Toronto,Ontario,-36.0,-7.0,79.0,-55.0,-53.0,18.0,2020-07-10
532,,Toronto,Ontario,-38.0,-11.0,30.0,-44.0,-15.0,8.0,2020-07-11
533,,Toronto,Ontario,-32.0,-10.0,131.0,-37.0,-11.0,3.0,2020-07-12
534,,Toronto,Ontario,-34.0,-8.0,86.0,-57.0,-54.0,17.0,2020-07-13
535,,Toronto,Ontario,-33.0,-6.0,109.0,-56.0,-54.0,17.0,2020-07-14
536,,Toronto,Ontario,-32.0,-8.0,101.0,-56.0,-53.0,17.0,2020-07-15
537,,Toronto,Ontario,-36.0,-6.0,22.0,-59.0,-53.0,19.0,2020-07-16
538,,Toronto,Ontario,-34.0,-5.0,109.0,-52.0,-52.0,16.0,2020-07-17
539,,Toronto,Ontario,-34.0,-9.0,147.0,-35.0,-11.0,4.0,2020-07-18
540,,Toronto,Ontario,-38.0,-16.0,66.0,-45.0,-15.0,4.0,2020-07-19
541,,Toronto,Ontario,-31.0,-6.0,109.0,-56.0,-53.0,16.0,2020-07-20
542,,Toronto,Ontario,-32.0,-5.0,110.0,-56.0,-52.0,16.0,2020-07-21
543,,Toronto,Ontario,-36.0,-12.0,24.0,-59.0,-54.0,19.0,2020-07-22
544,,Toronto,Ontario,-31.0,-2.0,105.0,-55.0,-52.0,17.0,2020-07-23
545,,Toronto,Ontario,-34.0,-7.0,106.0,-53.0,-51.0,16.0,2020-07-24
546,,Toronto,Ontario,-33.0,-9.0,156.0,-35.0,-12.0,3.0,2020-07-25
547,,Toronto,Ontario,-33.0,-13.0,130.0,-37.0,-12.0,2.0,2020-07-26
548,,Toronto,Ontario,-35.0,-10.0,60.0,-58.0,-54.0,17.0,2020-07-27
549,,Toronto,Ontario,-32.0,-5.0,104.0,-55.0,-53.0,16.0,2020-07-28
550,,Toronto,Ontario,-30.0,-7.0,85.0,-56.0,-54.0,17.0,2020-07-29
551,,Toronto,Ontario,-28.0,-1.0,101.0,-54.0,-53.0,16.0,2020-07-30
552,,Toronto,Ontario,-29.0,-4.0,105.0,-51.0,-52.0,14.0,2020-07-31
553,,Toronto,Ontario,-32.0,-12.0,135.0,-34.0,-14.0,2.0,2020-08-01
554,,Toronto,Ontario,-33.0,-16.0,23.0,-45.0,-18.0,4.0,2020-08-02
555,,Toronto,Ontario,-43.0,-31.0,85.0,-69.0,-77.0,20.0,2020-08-03
556,,Toronto,Ontario,-32.0,-7.0,13.0,-57.0,-55.0,17.0,2020-08-04
557,,Toronto,Ontario,-26.0,-5.0,103.0,-53.0,-53.0,16.0,2020-08-05
558,,Toronto,Ontario,-26.0,-3.0,111.0,-53.0,-52.0,16.0,2020-08-06
559,,Toronto,Ontario,-30.0,-9.0,104.0,-51.0,-51.0,15.0,2020-08-07
560,,Toronto,Ontario,-28.0,-11.0,162.0,-32.0,-10.0,2.0,2020-08-08
561,,Toronto,Ontario,-28.0,-15.0,128.0,-35.0,-11.0,1.0,2020-08-09
562,,Toronto,Ontario,-29.0,-11.0,91.0,-56.0,-53.0,15.0,2020-08-10
563,,Toronto,Ontario,-29.0,-9.0,89.0,-55.0,-53.0,16.0,2020-08-11
564,,Toronto,Ontario,-27.0,-10.0,102.0,-54.0,-53.0,16.0,2020-08-12
565,,Toronto,Ontario,-27.0,-7.0,104.0,-53.0,-52.0,16.0,2020-08-13
566,,Toronto,Ontario,-29.0,-10.0,100.0,-50.0,-51.0,14.0,2020-08-14
567,,Toronto,Ontario,-27.0,-12.0,155.0,-31.0,-11.0,1.0,2020-08-15
568,,Toronto,Ontario,-27.0,-15.0,79.0,-38.0,-13.0,2.0,2020-08-16
569,,Toronto,Ontario,-31.0,-15.0,49.0,-56.0,-54.0,16.0,2020-08-17
570,,Toronto,Ontario,-27.0,-9.0,93.0,-53.0,-52.0,15.0,2020-08-18
571,,Toronto,Ontario,-27.0,-11.0,92.0,-53.0,-52.0,15.0,2020-08-19
572,,Toronto,Ontario,-25.0,-4.0,106.0,-52.0,-51.0,15.0,2020-08-20
573,,Toronto,Ontario,-29.0,-8.0,87.0,-50.0,-50.0,14.0,2020-08-21
