"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01","2021","02","01","","-3.7","","-11.3","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","4","","2","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-02","2021","02","02","","-0.9","","-9.6","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","3","","33","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-03","2021","02","03","","0.6","","-6.3","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","2","","35","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-04","2021","02","04","","4.3","","-7.2","","-1.5","","19.5","","0.0","","0.0","","1.4","","1.4","","2","","11","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-05","2021","02","05","","1.7","","-8.0","","-3.2","","21.2","","0.0","","2.8","","2.4","","5.2","","2","","22","","65",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-06","2021","02","06","","-6.0","","-9.4","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","1","","23","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-07","2021","02","07","","-6.2","","-13.3","","-9.8","","27.8","","0.0","","0.0","","0.6","","0.6","","2","","27","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-08","2021","02","08","","-6.5","","-13.4","","-10.0","","28.0","","0.0","","0.0","","0.4","","0.2","","1","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-09","2021","02","09","","-2.7","","-11.4","","-7.1","","25.1","","0.0","","0.0","","1.2","","1.0","","2","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-10","2021","02","10","","-5.3","","-13.2","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","1","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-11","2021","02","11","","-4.7","","-11.2","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","1","","35","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-12","2021","02","12","","-8.3","","-14.2","","-11.3","","29.3","","0.0","","0.0","","2.2","","1.8","","1","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-13","2021","02","13","","-9.1","","-13.9","","-11.5","","29.5","","0.0","","0.0","","4.8","","2.2","","2","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-14","2021","02","14","","-4.0","","-14.8","","-9.4","","27.4","","0.0","","0.0","","0.4","","0.4","","6","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-15","2021","02","15","","-4.2","","-9.7","","-7.0","","25.0","","0.0","","0.0","","3.2","","3.2","","2","","1","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-16","2021","02","16","","-7.0","","-15.3","","-11.2","","29.2","","0.0","","0.0","","8.8","","8.8","","12","","36","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-17","2021","02","17","","","M","","M","","M","","M","","M","","M","","M","","M","12","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-18","2021","02","18","","","M","","M","","M","","M","","M","","M","","M","","M","10","E","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-19","2021","02","19","","-2.5","","-7.2","","-4.9","","22.9","","0.0","","0.0","","7.8","","7.8","","18","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-20","2021","02","20","","-1.8","","-11.4","","-6.6","","24.6","","0.0","","0.0","","0.4","","0.4","","16","","32","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-21","2021","02","21","","-1.5","","-12.4","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","12","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-22","2021","02","22","","2.8","","-1.7","","0.6","","17.4","","0.0","","0.6","","5.4","","4.8","","14","","26","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-23","2021","02","23","","4.3","","-0.7","","1.8","","16.2","","0.0","","0.0","","0.2","","0.2","","10","","27","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-24","2021","02","24","","8.4","","-0.6","","3.9","","14.1","","0.0","","0.0","T","0.0","","0.0","T","6","","26","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-25","2021","02","25","","0.9","","-3.7","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","1","","30","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-26","2021","02","26","","3.8","","-6.9","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-27","2021","02","27","","5.8","","-0.7","","2.6","","15.4","","0.0","","6.2","","0.0","","6.2","","0","T","27","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-28","2021","02","28","","6.5","","-1.7","","2.4","","15.6","","0.0","","1.0","","0.0","","1.0","","","","30","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-01","2021","03","01","","5.4","","-9.8","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","84",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-02","2021","03","02","","0.2","","-13.6","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","23","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-03","2021","03","03","","7.2","","-2.8","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","23","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-04","2021","03","04","","0.8","","-8.0","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-05","2021","03","05","","1.6","","-10.3","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","","","31","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-06","2021","03","06","","-0.2","","-9.2","","-4.7","","22.7","","0.0","","0.0","","0.0","T","0.0","T","","","33","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-07","2021","03","07","","-0.4","","-10.3","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-08","2021","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-09","2021","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-10","2021","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-11","2021","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-12","2021","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-13","2021","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-14","2021","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-15","2021","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-16","2021","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-17","2021","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-18","2021","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-19","2021","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-20","2021","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-21","2021","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-22","2021","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-23","2021","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-24","2021","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-25","2021","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-26","2021","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-27","2021","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-28","2021","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-29","2021","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-30","2021","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-03-31","2021","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-01","2021","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-02","2021","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-03","2021","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-04","2021","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-05","2021","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-06","2021","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-07","2021","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-08","2021","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-09","2021","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-10","2021","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-11","2021","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-12","2021","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-13","2021","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-14","2021","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-15","2021","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-16","2021","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-17","2021","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-18","2021","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-19","2021","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-20","2021","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-21","2021","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-22","2021","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-04-23","2021","04","23","","","","","","","","","","","","","","","","","","","","","","",""
