Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
,Ottawa,Ontario,13.0,6.0,68.0,3.0,1.0,-2.0
,Ottawa,Ontario,30.0,26.0,128.0,3.0,4.0,-4.0
,Ottawa,Ontario,-30.0,-53.0,52.0,-40.0,-62.0,14.0
,Ottawa,Ontario,-5.0,9.0,-8.0,-6.0,-2.0,1.0
,Ottawa,Ontario,0.0,6.0,-8.0,-8.0,1.0,0.0
,Ottawa,Ontario,6.0,4.0,0.0,-8.0,1.0,0.0
,Ottawa,Ontario,-1.0,0.0,9.0,-9.0,-8.0,2.0
,Ottawa,Ontario,17.0,11.0,54.0,5.0,4.0,-2.0
,Ottawa,Ontario,18.0,17.0,38.0,4.0,6.0,-2.0
,Ottawa,Ontario,4.0,5.0,13.0,-6.0,2.0,0.0
,Ottawa,Ontario,1.0,10.0,2.0,-6.0,3.0,-1.0
,Ottawa,Ontario,-5.0,6.0,-14.0,-2.0,1.0,1.0
,Ottawa,Ontario,-25.0,-25.0,-29.0,-22.0,-31.0,13.0
,Ottawa,Ontario,-2.0,3.0,-12.0,2.0,-3.0,2.0
,Ottawa,Ontario,13.0,13.0,-8.0,4.0,7.0,-2.0
,Ottawa,Ontario,17.0,22.0,17.0,3.0,9.0,-2.0
,Ottawa,Ontario,2.0,6.0,-7.0,-5.0,4.0,0.0
,Ottawa,Ontario,0.0,5.0,-10.0,-2.0,4.0,0.0
,Ottawa,Ontario,3.0,9.0,-9.0,-2.0,5.0,0.0
,Ottawa,Ontario,9.0,8.0,-5.0,-4.0,-1.0,0.0
,Ottawa,Ontario,-3.0,-2.0,-10.0,-1.0,5.0,1.0
,Ottawa,Ontario,18.0,12.0,16.0,5.0,6.0,-3.0
,Ottawa,Ontario,16.0,20.0,30.0,0.0,6.0,-2.0
,Ottawa,Ontario,4.0,8.0,11.0,-8.0,3.0,0.0
,Ottawa,Ontario,-2.0,4.0,-9.0,-8.0,3.0,1.0
,Ottawa,Ontario,2.0,12.0,-7.0,-5.0,3.0,0.0
,Ottawa,Ontario,8.0,35.0,-3.0,-8.0,0.0,1.0
,Ottawa,Ontario,-8.0,41.0,-22.0,-18.0,-6.0,5.0
,Ottawa,Ontario,-9.0,24.0,3.0,-17.0,-2.0,3.0
,Ottawa,Ontario,-13.0,14.0,10.0,-25.0,-6.0,3.0
,Ottawa,Ontario,-25.0,17.0,-23.0,-52.0,-48.0,17.0
,Ottawa,Ontario,-43.0,-5.0,-35.0,-59.0,-59.0,22.0
,Ottawa,Ontario,-46.0,-9.0,-23.0,-61.0,-61.0,23.0
,Ottawa,Ontario,-47.0,-11.0,-20.0,-64.0,-64.0,24.0
,Ottawa,Ontario,-54.0,-19.0,-35.0,-64.0,-64.0,26.0
,Ottawa,Ontario,-55.0,-24.0,-9.0,-54.0,-39.0,13.0
,Ottawa,Ontario,-53.0,-24.0,21.0,-58.0,-39.0,10.0
,Ottawa,Ontario,-55.0,-27.0,-53.0,-74.0,-68.0,26.0
,Ottawa,Ontario,-56.0,-23.0,-30.0,-73.0,-70.0,27.0
,Ottawa,Ontario,-62.0,-33.0,-39.0,-74.0,-72.0,29.0
,Ottawa,Ontario,-61.0,-33.0,-47.0,-76.0,-73.0,30.0
,Ottawa,Ontario,-61.0,-28.0,-3.0,-71.0,-71.0,29.0
,Ottawa,Ontario,-62.0,-34.0,-13.0,-66.0,-49.0,14.0
,Ottawa,Ontario,-66.0,-44.0,-61.0,-76.0,-48.0,14.0
,Ottawa,Ontario,-61.0,-34.0,-50.0,-77.0,-74.0,28.0
,Ottawa,Ontario,-56.0,-25.0,-18.0,-72.0,-74.0,27.0
,Ottawa,Ontario,-58.0,-31.0,-28.0,-72.0,-73.0,28.0
,Ottawa,Ontario,-58.0,-30.0,-25.0,-74.0,-74.0,29.0
,Ottawa,Ontario,-63.0,-33.0,-44.0,-75.0,-73.0,31.0
,Ottawa,Ontario,-60.0,-34.0,12.0,-59.0,-48.0,14.0
,Ottawa,Ontario,-63.0,-38.0,-21.0,-70.0,-48.0,13.0
,Ottawa,Ontario,-59.0,-31.0,-11.0,-74.0,-74.0,27.0
,Ottawa,Ontario,-60.0,-28.0,-28.0,-75.0,-74.0,28.0
,Ottawa,Ontario,-59.0,-24.0,-45.0,-75.0,-74.0,29.0
,Ottawa,Ontario,-53.0,-6.0,-53.0,-77.0,-75.0,29.0
,Ottawa,Ontario,-86.0,-80.0,-54.0,-85.0,-89.0,38.0
,Ottawa,Ontario,-56.0,-14.0,-18.0,-63.0,-48.0,14.0
,Ottawa,Ontario,-83.0,-79.0,-15.0,-72.0,-58.0,14.0
,Ottawa,Ontario,-64.0,-36.0,-64.0,-83.0,-80.0,31.0
,Ottawa,Ontario,-59.0,-23.0,-40.0,-77.0,-74.0,29.0
,Ottawa,Ontario,-59.0,-27.0,-48.0,-76.0,-74.0,29.0
,Ottawa,Ontario,-59.0,-27.0,-39.0,-76.0,-74.0,30.0
,Ottawa,Ontario,-62.0,-30.0,-33.0,-74.0,-72.0,31.0
,Ottawa,Ontario,-61.0,-32.0,7.0,-59.0,-43.0,14.0
,Ottawa,Ontario,-65.0,-42.0,-50.0,-74.0,-46.0,14.0
,Ottawa,Ontario,-58.0,-29.0,-16.0,-74.0,-73.0,27.0
,Ottawa,Ontario,-62.0,-36.0,-59.0,-78.0,-74.0,30.0
,Ottawa,Ontario,-60.0,-31.0,-53.0,-77.0,-73.0,30.0
,Ottawa,Ontario,-56.0,-23.0,-22.0,-73.0,-73.0,29.0
,Ottawa,Ontario,-63.0,-29.0,-29.0,-73.0,-71.0,30.0
,Ottawa,Ontario,-59.0,-28.0,31.0,-56.0,-41.0,13.0
,Ottawa,Ontario,-59.0,-31.0,-10.0,-66.0,-41.0,12.0
,Ottawa,Ontario,-57.0,-26.0,-16.0,-73.0,-72.0,27.0
,Ottawa,Ontario,-55.0,-23.0,-1.0,-70.0,-72.0,27.0
,Ottawa,Ontario,-56.0,-27.0,-31.0,-73.0,-71.0,28.0
,Ottawa,Ontario,-57.0,-28.0,-59.0,-77.0,-72.0,30.0
,Ottawa,Ontario,-57.0,-22.0,-14.0,-70.0,-70.0,29.0
,Ottawa,Ontario,-55.0,-26.0,30.0,-56.0,-37.0,12.0
,Ottawa,Ontario,-51.0,-24.0,53.0,-59.0,-35.0,10.0
,Ottawa,Ontario,-54.0,-25.0,-27.0,-74.0,-71.0,27.0
,Ottawa,Ontario,-53.0,-22.0,-12.0,-71.0,-71.0,27.0
,Ottawa,Ontario,-53.0,-21.0,-5.0,-70.0,-70.0,27.0
,Ottawa,Ontario,-53.0,-20.0,-10.0,-72.0,-70.0,28.0
,Ottawa,Ontario,-58.0,-22.0,-27.0,-72.0,-68.0,29.0
,Ottawa,Ontario,-53.0,-17.0,-34.0,-67.0,-36.0,14.0
,Ottawa,Ontario,-43.0,-12.0,46.0,-61.0,-27.0,9.0
,Ottawa,Ontario,-53.0,-25.0,-2.0,-73.0,-69.0,26.0
,Ottawa,Ontario,-52.0,-22.0,-13.0,-73.0,-69.0,27.0
,Ottawa,Ontario,-49.0,-19.0,15.0,-69.0,-68.0,26.0
,Ottawa,Ontario,-48.0,-17.0,12.0,-69.0,-69.0,26.0
,Ottawa,Ontario,-55.0,-23.0,-29.0,-72.0,-68.0,29.0
,Ottawa,Ontario,-48.0,-18.0,68.0,-52.0,-30.0,10.0
,Ottawa,Ontario,-37.0,-7.0,121.0,-55.0,-24.0,8.0
,Ottawa,Ontario,-67.0,-62.0,93.0,-76.0,-85.0,27.0
,Ottawa,Ontario,-40.0,-4.0,17.0,-69.0,-67.0,24.0
,Ottawa,Ontario,-39.0,-7.0,43.0,-66.0,-66.0,24.0
,Ottawa,Ontario,-39.0,-9.0,50.0,-67.0,-67.0,24.0
,Ottawa,Ontario,-45.0,-14.0,55.0,-66.0,-63.0,24.0
,Ottawa,Ontario,-40.0,-13.0,117.0,-48.0,-21.0,8.0
,Ottawa,Ontario,-35.0,-14.0,145.0,-52.0,-19.0,6.0
,Ottawa,Ontario,-41.0,-16.0,20.0,-69.0,-67.0,23.0
,Ottawa,Ontario,-42.0,-17.0,16.0,-69.0,-66.0,24.0
,Ottawa,Ontario,-40.0,-13.0,23.0,-67.0,-65.0,24.0
,Ottawa,Ontario,-39.0,-11.0,9.0,-68.0,-65.0,24.0
,Ottawa,Ontario,-44.0,-15.0,14.0,-65.0,-62.0,25.0
,Ottawa,Ontario,-41.0,-16.0,38.0,-52.0,-16.0,10.0
,Ottawa,Ontario,-34.0,-9.0,86.0,-55.0,-12.0,6.0
,Ottawa,Ontario,-37.0,-13.0,32.0,-67.0,-64.0,22.0
,Ottawa,Ontario,-41.0,-17.0,-5.0,-70.0,-64.0,24.0
,Ottawa,Ontario,-40.0,-12.0,17.0,-67.0,-63.0,23.0
,Ottawa,Ontario,-35.0,-9.0,73.0,-64.0,-62.0,22.0
,Ottawa,Ontario,-42.0,-14.0,99.0,-62.0,-60.0,22.0
,Ottawa,Ontario,-38.0,-13.0,85.0,-52.0,-13.0,8.0
,Ottawa,Ontario,-30.0,-9.0,184.0,-52.0,-7.0,4.0
,Ottawa,Ontario,-34.0,-11.0,64.0,-65.0,-62.0,21.0
,Ottawa,Ontario,-37.0,-13.0,38.0,-67.0,-62.0,22.0
,Ottawa,Ontario,-36.0,-11.0,20.0,-66.0,-62.0,23.0
,Ottawa,Ontario,-33.0,-8.0,57.0,-65.0,-61.0,22.0
,Ottawa,Ontario,-37.0,-11.0,48.0,-62.0,-58.0,21.0
,Ottawa,Ontario,-32.0,-13.0,99.0,-47.0,-6.0,6.0
